"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","124.700","124.400","124.750","124.400","0.34K","0.48%"
"Dec 30, 2019","124.100","123.650","124.125","123.575","0.79K","0.49%"
"Dec 27, 2019","123.500","123.300","123.900","123.200","1.01K","0.18%"
"Dec 26, 2019","123.275","122.650","123.275","122.550","1.04K","-1.99%"
"Dec 25, 2019","125.775","125.775","125.775","125.775","-","2.55%"
"Dec 24, 2019","122.650","122.450","122.725","122.250","0.54K","0.20%"
"Dec 23, 2019","122.400","122.000","122.800","121.750","0.71K","0.14%"
"Dec 20, 2019","122.225","122.225","122.400","121.800","1.52K","0.08%"
"Dec 19, 2019","122.125","122.150","122.725","121.925","2.09K","-0.10%"
"Dec 18, 2019","122.250","122.300","122.650","121.825","1.66K","0.02%"
"Dec 17, 2019","122.225","122.300","122.850","122.200","2.35K","-0.06%"
"Dec 16, 2019","122.300","122.500","122.875","122.000","2.28K","-0.06%"
"Dec 13, 2019","122.375","120.725","122.625","120.475","4.78K","1.62%"
"Dec 12, 2019","120.425","120.400","120.650","119.950","4.42K","-0.12%"
"Dec 11, 2019","120.575","119.900","120.650","119.900","3.01K","0.58%"
"Dec 10, 2019","119.875","120.375","120.550","119.825","4.31K","-0.25%"
"Dec 09, 2019","120.175","120.200","120.825","120.000","6.40K","-0.02%"
"Dec 06, 2019","120.200","120.000","120.475","119.675","6.91K","0.23%"
"Dec 05, 2019","119.925","119.500","120.550","119.275","6.95K","0.40%"
"Dec 04, 2019","119.450","120.600","120.700","119.400","11.01K","-0.91%"
"Dec 03, 2019","120.550","120.750","120.950","120.275","7.30K","-0.17%"
"Dec 02, 2019","120.750","120.975","121.075","120.275","9.93K","-0.37%"
"Nov 29, 2019","121.200","121.850","122.075","120.925","9.15K","-0.19%"
"Nov 27, 2019","121.425","120.775","121.850","120.350","15.22K","0.85%"
"Nov 26, 2019","120.400","119.900","120.775","119.600","9.40K","0.58%"
"Nov 25, 2019","119.700","119.000","120.525","118.850","13.19K","0.86%"
"Nov 22, 2019","118.675","119.100","119.350","118.250","14.49K","-0.54%"
"Nov 21, 2019","119.325","119.400","119.950","119.075","16.74K","0.02%"
"Nov 20, 2019","119.300","118.550","119.525","118.150","16.54K","0.44%"
"Nov 19, 2019","118.775","118.675","118.900","117.700","18.45K","0.06%"
"Nov 18, 2019","118.700","119.100","119.150","118.500","18.19K","-0.34%"
"Nov 15, 2019","119.100","119.075","119.425","118.575","17.54K","0.02%"
"Nov 14, 2019","119.075","117.800","119.275","117.700","24.10K","0.83%"
"Nov 13, 2019","118.100","119.825","119.850","117.350","43.27K","-1.38%"
"Nov 12, 2019","119.750","119.700","119.975","119.050","30.54K","-0.10%"
"Nov 11, 2019","119.875","119.450","119.950","118.825","34.65K","0.52%"
"Nov 08, 2019","119.250","119.075","119.650","118.525","32.60K","0.21%"
"Nov 07, 2019","119.000","119.200","119.775","118.600","33.45K","0.00%"
"Nov 06, 2019","119.000","119.225","119.600","118.200","24.00K","-0.38%"
"Nov 05, 2019","119.450","120.000","120.150","118.900","25.45K","-0.52%"
"Nov 04, 2019","120.075","119.525","120.325","119.050","26.21K","0.46%"
"Nov 01, 2019","119.525","117.225","119.700","117.125","30.67K","7.03%"
"Oct 31, 2019","111.675","113.500","114.150","111.000","0.05K","-1.50%"
"Oct 30, 2019","113.375","113.050","114.425","112.700","0.40K","0.02%"
"Oct 29, 2019","113.350","112.750","113.350","112.175","1.02K","0.42%"
"Oct 28, 2019","112.875","112.575","113.000","111.800","0.60K","0.80%"
"Oct 25, 2019","111.975","110.500","112.100","110.375","0.60K","1.40%"
"Oct 24, 2019","110.425","110.600","111.500","110.000","1.86K","0.20%"
"Oct 23, 2019","110.200","109.525","110.450","108.925","2.71K","0.30%"
"Oct 22, 2019","109.875","110.750","110.900","109.700","1.35K","-0.97%"
"Oct 21, 2019","110.950","110.400","111.150","109.725","1.11K","0.43%"
"Oct 18, 2019","110.475","112.500","112.500","109.550","1.95K","-1.71%"
"Oct 17, 2019","112.400","112.300","112.500","111.650","1.27K","0.04%"
"Oct 16, 2019","112.350","111.000","112.500","111.000","1.88K","1.22%"
"Oct 15, 2019","111.000","110.775","111.100","110.225","1.81K","0.34%"
"Oct 14, 2019","110.625","109.700","110.850","109.600","1.02K","1.07%"
"Oct 11, 2019","109.450","108.800","109.600","108.650","3.34K","0.67%"
"Oct 10, 2019","108.725","108.450","108.925","108.075","1.23K","0.23%"
"Oct 09, 2019","108.475","108.250","108.850","107.850","1.95K","0.28%"
"Oct 08, 2019","108.175","108.475","108.850","108.075","2.72K","-0.07%"
"Oct 07, 2019","108.250","107.575","108.475","107.350","3.75K","0.84%"
"Oct 04, 2019","107.350","106.650","107.800","106.300","7.47K","0.51%"
"Oct 03, 2019","106.800","106.125","107.000","105.825","6.53K","0.71%"
"Oct 02, 2019","106.050","104.850","106.300","104.500","9.32K","1.36%"
"Oct 01, 2019","104.625","104.625","105.175","104.250","7.95K","0.05%"
"Sep 30, 2019","104.575","105.125","105.200","104.325","8.73K","-0.43%"
"Sep 27, 2019","105.025","103.250","105.250","103.200","16.28K","2.02%"
"Sep 26, 2019","102.950","103.100","103.350","102.550","10.53K","-0.05%"
"Sep 25, 2019","103.000","102.300","103.250","102.025","8.71K","0.86%"
"Sep 24, 2019","102.125","101.750","102.875","101.650","11.97K","0.27%"
"Sep 23, 2019","101.850","100.500","102.100","100.500","11.39K","2.52%"
"Sep 20, 2019","99.350","99.925","100.125","98.950","10.63K","-0.45%"
"Sep 19, 2019","99.800","100.250","100.625","99.625","12.18K","-0.57%"
"Sep 18, 2019","100.375","99.350","100.500","99.000","13.17K","1.03%"
"Sep 17, 2019","99.350","98.200","99.900","97.625","18.75K","1.38%"
